Unnamed: 0;Name;Family;Born;Sigil;Serves;Known As;Occupation;Relation;Death
AGOT;001 Prologue;;;;;;;;
;Gared;;;;"image(""http://awoiaf.westeros.org/images/4/47/Minigdn.png"")";;Castle Black ranger;;Killed by Eddard Stark at a northern holdfast
Ser;Waymar;Royce;"image(""http://awoiaf.westeros.org/images/e/ed/Royce.png"")";"image(""http://awoiaf.westeros.org/images/e/ed/Royce.png"")";"image(""http://awoiaf.westeros.org/images/4/47/Minigdn.png"")";;Castle Black ranger;Yohn's Son;Killed by Others north of the Wall
;Will;;;;"image(""http://awoiaf.westeros.org/images/4/47/Minigdn.png"")";;Castle Black ranger;;Killed by a wight (Ser Waymar Royce) north of the Wall
Commander;Jeor;Mormont;"image(""http://awoiaf.westeros.org/images/c/c9/House_Mormont.PNG"")";"image(""http://awoiaf.westeros.org/images/c/c9/House_Mormont.PNG"")";"image(""http://awoiaf.westeros.org/images/4/47/Minigdn.png"")";Lord Crow, Old Bear;"Lord Commander of the Night's Watch, Lord of Bear Island, ""Longclaw"" wielder";;Killed by Ollo Lophand at Craster's Keep
Maester;Aemon;;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";;"image(""http://awoiaf.westeros.org/images/4/47/Minigdn.png"")";Uncle Maester;Prince, Castle Black maester, Dragonstone maester, Citadel maester;Maekar I's Son;"Died of old age aboard ""Cinnamon Wind"" in the Narrow Sea"
;002 Bran;;;;;;;;
Prince;Brandon;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;Bran, Bran the Broken;Prince of Winterfell (disputed), Theon Greyjoy's ward, warg;Eddard's Son;
King;Robb I;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/8/80/MiniStark_Robb.png"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";King Who Lost the North, Young Wolf;King in the North (disputed), Lord of Winterfell (disputed);Eddard's Son;Killed by Roose Bolton at the Twins
King;Mance;Rayder;;;;The Mance;King-beyond-the-Wall;;
;Nan;;;;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";Old Nan;Winterfell storyteller;;
Commander;Jon;Snow;;"image(""http://awoiaf.westeros.org/images/thumb/1/13/House_Stark_%28Jon_Snow%29.svg/545px-House_Stark_%28Jon_Snow%29.svg.png"")";"image(""http://awoiaf.westeros.org/images/4/47/Minigdn.png"")";Bastard, Lord Snow;"Lord Commander of the Night's Watch, Jeor Mormont's steward, warg, ""Longclaw"" wielder";Eddard's Bastard;
Lord;Eddard;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/d/d1/House_Baratheon.PNG"")";Ned, Quiet Wolf;"Hand of King Robert I, Warden of the North, Lord of Winterfell, Robert I Baratheon's vanguard commander, ""Ice"" wielder";Rickard's Son;Killed by Ilyn Payne at King's Landing
Prince;Theon;Greyjoy;"image(""http://awoiaf.westeros.org/images/f/f3/Greyjoy_coat_sigil.png"")";"image(""http://awoiaf.westeros.org/images/f/f3/Greyjoy_coat_sigil.png"")";"image(""http://awoiaf.westeros.org/images/f/f3/Greyjoy_coat_sigil.png"")";Turncloak;"Prince of Winterfell (disputed), Prince of the Iron Islands, ""Sea Bitch"" captain, Eddard Stark's ward";Balon's Son;
Captain;Jory;Cassel;"image(""http://awoiaf.westeros.org/images/c/c3/House_Cassel.PNG"")";"image(""http://awoiaf.westeros.org/images/c/c3/House_Cassel.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;Stark captain of the household guard;Martyn's Son;Killed by Lannisters at King's Landing
King;Robert I;Baratheon;"image(""http://awoiaf.westeros.org/images/d/d1/House_Baratheon.PNG"")";"image(""http://awoiaf.westeros.org/images/d/d1/House_Baratheon.PNG"")";"image(""http://awoiaf.westeros.org/images/d/d1/House_Baratheon.PNG"")";Storm Lord;King;Steffon's Son;Died of injuries from a boar at King's Landing
;Hullen;;;;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;Stark master of horse;;Killed by Lannisters at King's Landing
;Harwin;;;;;;Brotherhood without banners member, Stark guard;Hullen's Son;
Ser;Rodrik;Cassel;"image(""http://awoiaf.westeros.org/images/c/c3/House_Cassel.PNG"")";"image(""http://awoiaf.westeros.org/images/c/c3/House_Cassel.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;Winterfell master-at-arms, Winterfell castellan;;Killed by Boltons at Winterfell
Prince;Rickon;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;;Prince of Winterfell (disputed), Theon Greyjoy's ward;Eddard's Son;
;Desmond;;;;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;Stark guard;;Killed by Lannisters at King's Landing
;003 Catelyn;;;;;;;;
Lady;Catelyn;Tully;"image(""http://awoiaf.westeros.org/images/2/23/House_Tully.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;Cat, Hangwoman, Mother Merciless, Silent Sister, Stoneheart;Lady of Winterfell, brotherhood without banners leader;Hosters Daughter;Killed by Raymund Frey at the Twins - Resurrected
King;Brandon;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";Brandon the Builder;King in the North;;Historical Character
Princess;Arya;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/thumb/a/a3/Faceless_Men.svg/545px-Faceless_Men.svg.png"")";Arry, Cat, Horseface, Lumpyhead, Nan, Salty, Squab, Stickboy, Underfoot, Weasel;House of Black and White novice, Roose Bolton's cupbearer;Eddard's Daughter;
